iter	MultiClass
0	1.713802767
1	1.643200712
2	1.592321651
3	1.548231298
4	1.499794694
5	1.454769581
6	1.408644316
7	1.369314058
8	1.335306932
9	1.302331464
10	1.266712332
11	1.229908269
12	1.201569443
13	1.177259435
14	1.14931433
15	1.124368595
16	1.09708162
17	1.071892666
18	1.048322692
19	1.022785307
20	1.007333452
21	0.9884262083
22	0.9696546695
23	0.9504668675
24	0.9332530461
25	0.9181708105
26	0.9061261959
27	0.8924913994
28	0.8766910568
29	0.8634232029
30	0.8466924062
31	0.8307598269
32	0.8166980288
33	0.8023420373
34	0.7911110813
35	0.7786880002
36	0.7673686291
37	0.7559584467
38	0.7440843263
39	0.7350761137
40	0.7260749146
41	0.7146918979
42	0.7018887002
43	0.6908752306
44	0.6839169121
45	0.6756766762
46	0.6669716435
47	0.661437924
48	0.6538839494
49	0.646017146
50	0.6382445302
51	0.6290475404
52	0.6222228894
53	0.6156255998
54	0.6100555932
55	0.6010424156
56	0.5950948892
57	0.5889147227
58	0.5811961066
59	0.574489041
60	0.5683596005
61	0.5631986047
62	0.558087628
63	0.552546439
64	0.5466773361
65	0.5399317962
66	0.5336895985
67	0.528358761
68	0.5226671279
69	0.5169846312
70	0.5116908887
71	0.507670199
72	0.5024558843
73	0.4956746604
74	0.4916092923
75	0.4862977514
76	0.4808037808
77	0.4772377601
78	0.4718620066
79	0.4684869091
80	0.4638580794
81	0.4586280494
82	0.4527393189
83	0.4474952988
84	0.443225866
85	0.4396375358
86	0.4348918927
87	0.4301964043
88	0.4261978096
89	0.42118706
90	0.4174120227
91	0.4127572007
92	0.4077601472
93	0.4031688434
94	0.3989560332
95	0.3944313372
96	0.390902227
97	0.3876338323
98	0.3830974475
99	0.3795757173
100	0.3755580408
101	0.3726388861
102	0.3692915795
103	0.3654166115
104	0.3617208205
105	0.357921321
106	0.354335349
107	0.3503131883
108	0.3479134301
109	0.3453520823
110	0.3407377987
111	0.3379594283
112	0.3350990013
113	0.3317271973
114	0.328133471
115	0.3261230635
116	0.3230021004
117	0.3197780969
118	0.3172022192
119	0.3140424165
120	0.3114838164
121	0.3095059992
122	0.3062746115
123	0.3044931058
124	0.3013177218
125	0.2989284727
126	0.2973343442
127	0.2957799982
128	0.2945242074
129	0.2920796997
130	0.2896359519
131	0.2875935998
132	0.285948296
133	0.2834271769
134	0.2803977479
135	0.2782632852
136	0.2760264825
137	0.2740969167
138	0.2720247085
139	0.2691666884
140	0.2668938383
141	0.264892549
142	0.2631925298
143	0.2610504412
144	0.2584493014
145	0.2564075937
146	0.2538803706
147	0.2520481463
148	0.2500709077
149	0.2482013286
150	0.2458847185
151	0.2442693751
152	0.2424704139
153	0.2407227945
154	0.2390158881
155	0.2375731781
156	0.2355220508
157	0.2337296445
158	0.231995931
159	0.2302901978
160	0.2288639752
161	0.2269068807
162	0.2254976714
163	0.2239606616
164	0.222565557
165	0.2209296676
166	0.2196382025
167	0.2180378888
168	0.2170522224
169	0.2156314353
170	0.2152435922
171	0.213884874
172	0.2136720255
173	0.2120404073
174	0.2102020121
175	0.2088122168
176	0.2072565995
177	0.2057375386
178	0.2048874473
179	0.2034095624
180	0.202065132
181	0.2003966047
182	0.1987509457
183	0.1974828071
184	0.1963128906
185	0.1955223235
186	0.194044852
187	0.1931171483
188	0.1918125627
189	0.1905844821
190	0.1891210432
191	0.1876481626
192	0.1863840295
193	0.1857647069
194	0.1847343271
195	0.1837526424
196	0.1828138847
197	0.1816306028
198	0.1803993299
199	0.179707139
200	0.1789184831
201	0.177959408
202	0.1767578489
203	0.1757222326
204	0.1750004684
205	0.1742068986
206	0.1733685367
207	0.1722962628
208	0.1712937157
209	0.1704195065
210	0.1694050007
211	0.1684517776
212	0.1677570562
213	0.1669700363
214	0.1661702226
215	0.1655767817
216	0.1648531064
217	0.1641561929
218	0.1632993871
219	0.1622473666
220	0.1613028028
221	0.1602076065
222	0.159328847
223	0.158432136
224	0.1576688783
225	0.1567098081
226	0.1560933844
227	0.1552259792
228	0.1543689203
229	0.153679941
230	0.1527159937
231	0.1518762123
232	0.1510223637
233	0.1503188896
234	0.1498902073
235	0.1490850778
236	0.1481855211
237	0.1473147716
238	0.146506679
239	0.1458363204
240	0.1451745499
241	0.1448105576
242	0.1438255371
243	0.1433506495
244	0.1428692058
245	0.1423056662
246	0.1415393742
247	0.1409741692
248	0.140753371
249	0.1403314596
250	0.139450548
251	0.1387498232
252	0.1380731397
253	0.137219088
254	0.1365461731
255	0.1358074813
256	0.1349690381
257	0.1343398048
258	0.1341651409
259	0.1335714576
260	0.1329849854
261	0.1322557452
262	0.1314358245
263	0.1307785232
264	0.1297585168
265	0.1292413872
266	0.1286330744
267	0.1279407796
268	0.1273277855
269	0.1265224547
270	0.1258508874
271	0.1250922441
272	0.124336598
273	0.1239233552
274	0.1233069716
275	0.1228281614
276	0.1221309435
277	0.1215991985
278	0.1213083613
279	0.121048029
280	0.120420531
281	0.1196990486
282	0.1191885539
283	0.1185639836
284	0.1181323221
285	0.1177275258
286	0.1172387201
287	0.1167823602
288	0.1161402321
289	0.115391634
290	0.114528524
291	0.1139840395
292	0.1135570529
293	0.1129985819
294	0.112659282
295	0.1121766497
296	0.1116860627
297	0.1113820501
298	0.1108260758
299	0.1104188315
300	0.1101205618
301	0.1097620079
302	0.1091986417
303	0.1087175192
304	0.1082412539
305	0.1078582056
306	0.1074199353
307	0.1069235083
308	0.1066719927
309	0.1065557045
310	0.1059629588
311	0.1055849229
312	0.1052266168
313	0.1048130422
314	0.1045778237
315	0.1042257351
316	0.1039057955
