iter	Passed	Remaining
0	12	12152
1	19	9836
2	27	9087
3	32	8084
4	36	7343
5	40	6688
6	43	6219
7	46	5807
8	50	5585
9	53	5332
10	56	5123
11	59	4918
12	62	4749
13	65	4599
14	67	4462
15	70	4355
16	73	4265
17	76	4171
18	79	4088
19	81	4014
20	84	3947
21	87	3886
22	89	3819
23	92	3770
24	95	3723
25	98	3686
26	101	3640
27	103	3605
28	106	3568
29	109	3536
30	112	3506
31	115	3480
32	117	3452
33	120	3427
34	123	3401
35	126	3382
36	128	3357
37	131	3335
38	134	3319
39	137	3300
40	140	3287
41	143	3266
42	145	3242
43	148	3225
44	152	3239
45	156	3236
46	158	3223
47	161	3203
48	164	3195
49	167	3191
50	170	3178
51	173	3168
52	176	3156
53	179	3143
54	182	3132
55	185	3124
56	188	3115
57	191	3111
58	195	3115
59	197	3092
60	200	3086
61	203	3079
62	206	3076
63	210	3075
64	215	3092
65	218	3086
66	221	3085
67	224	3077
68	227	3071
69	231	3071
70	234	3062
71	236	3051
72	239	3042
73	242	3031
74	245	3021
75	247	3011
76	250	3004
77	253	2996
78	256	2986
79	259	2979
80	261	2971
81	264	2963
82	267	2952
83	269	2944
84	272	2935
85	275	2927
86	278	2922
87	281	2914
88	283	2906
89	286	2899
90	289	2891
91	292	2884
92	294	2876
93	297	2869
94	300	2862
95	303	2855
96	305	2848
97	308	2841
98	311	2835
99	314	2829
100	317	2822
101	319	2814
102	322	2806
103	324	2799
104	327	2794
105	330	2788
106	333	2783
107	336	2776
108	338	2770
109	341	2764
110	344	2756
111	346	2751
112	349	2744
113	352	2738
114	355	2732
115	358	2728
116	360	2723
117	363	2718
118	366	2713
119	369	2707
120	371	2702
121	374	2697
122	377	2691
123	380	2685
124	384	2688
125	387	2686
126	390	2683
127	393	2678
128	396	2677
129	399	2674
130	403	2675
131	406	2672
132	410	2675
133	413	2672
134	416	2670
135	419	2667
136	423	2665
137	426	2662
138	429	2658
139	432	2656
140	436	2657
141	439	2653
142	441	2648
143	445	2645
144	449	2649
145	452	2648
146	455	2642
147	458	2638
148	461	2633
149	463	2627
150	466	2622
151	469	2617
152	472	2613
153	474	2609
154	477	2603
155	480	2600
156	483	2595
157	486	2591
158	488	2586
159	491	2581
160	494	2577
161	497	2573
162	500	2567
163	502	2563
164	505	2558
165	508	2554
166	511	2549
167	514	2545
168	516	2541
169	519	2537
170	522	2532
171	525	2527
172	525	2512
173	528	2507
174	531	2503
175	533	2498
176	536	2495
177	539	2490
178	542	2486
179	544	2481
180	547	2477
181	550	2472
182	552	2467
183	555	2464
184	558	2460
185	561	2455
186	563	2450
187	566	2446
188	569	2442
189	571	2438
190	574	2434
191	578	2434
192	581	2432
193	584	2429
194	587	2425
195	590	2423
196	593	2420
197	596	2417
198	599	2414
199	603	2412
200	606	2411
201	610	2411
202	613	2407
203	616	2403
204	618	2400
205	621	2396
206	625	2397
207	628	2394
208	631	2390
209	634	2386
210	637	2382
211	640	2378
212	643	2376
213	646	2373
214	648	2368
215	651	2364
216	654	2361
217	657	2358
218	660	2355
219	663	2351
220	666	2347
221	668	2343
222	671	2339
223	674	2337
224	677	2333
225	680	2328
226	682	2325
227	687	2326
228	690	2323
229	693	2320
230	695	2316
231	698	2312
232	701	2310
233	705	2310
234	708	2307
235	711	2304
236	714	2301
237	718	2298
238	721	2297
239	724	2293
240	727	2290
241	730	2288
242	733	2284
243	736	2282
244	740	2281
245	743	2277
246	746	2274
247	749	2272
248	752	2269
249	755	2265
250	758	2263
251	761	2261
252	765	2261
253	770	2263
254	774	2263
255	780	2266
256	784	2266
257	788	2266
258	791	2265
259	796	2266
260	800	2265
261	804	2265
262	811	2272
263	814	2270
264	818	2269
265	821	2266
266	824	2262
267	827	2260
268	831	2259
269	834	2256
270	838	2254
271	841	2251
272	843	2247
273	847	2245
274	851	2244
275	855	2242
276	858	2239
277	861	2236
278	864	2234
279	867	2231
280	870	2227
281	873	2224
282	876	2221
283	880	2219
284	883	2217
285	887	2214
286	889	2210
287	893	2208
288	896	2205
289	899	2203
290	902	2199
291	905	2196
292	909	2193
293	912	2190
294	915	2187
295	918	2183
296	921	2181
297	924	2176
298	927	2174
299	930	2171
300	933	2168
301	936	2165
302	939	2161
303	943	2159
304	946	2156
305	949	2152
306	951	2148
307	954	2144
308	958	2143
309	962	2141
310	965	2138
311	968	2134
312	971	2131
313	974	2130
314	977	2126
315	980	2123
316	983	2119
317	987	2117
318	990	2114
319	993	2110
320	997	2109
321	1000	2107
322	1004	2106
323	1009	2106
324	1012	2102
325	1015	2098
326	1018	2096
327	1021	2093
328	1026	2092
329	1029	2089
330	1032	2085
331	1036	2084
332	1039	2082
333	1042	2079
334	1046	2076
335	1049	2073
336	1054	2073
337	1057	2070
338	1060	2067
339	1063	2064
340	1067	2062
341	1071	2062
342	1074	2058
343	1077	2054
344	1080	2052
345	1084	2049
346	1088	2049
347	1091	2045
348	1094	2042
349	1097	2038
350	1101	2035
351	1104	2033
352	1108	2031
353	1111	2027
354	1114	2024
355	1118	2022
356	1121	2019
357	1124	2016
358	1127	2012
359	1130	2008
360	1134	2008
361	1137	2004
362	1140	2001
363	1143	1997
364	1146	1993
365	1150	1993
366	1155	1993
367	1158	1990
368	1162	1987
369	1166	1985
370	1169	1982
371	1172	1979
372	1175	1976
373	1180	1976
374	1184	1974
375	1187	1970
376	1191	1968
377	1194	1964
378	1197	1962
379	1202	1961
380	1204	1957
381	1208	1954
382	1210	1950
383	1215	1950
384	1218	1946
385	1220	1940
386	1223	1937
387	1226	1933
388	1229	1931
389	1232	1928
390	1235	1925
391	1238	1921
392	1241	1917
393	1245	1915
394	1247	1911
395	1250	1907
396	1253	1904
397	1256	1900
398	1259	1896
399	1262	1893
400	1264	1889
401	1267	1885
402	1270	1882
403	1273	1878
404	1276	1874
405	1279	1871
406	1281	1867
407	1284	1864
408	1287	1860
409	1290	1856
410	1293	1853
411	1295	1849
412	1298	1845
413	1301	1842
414	1304	1838
415	1307	1835
416	1310	1831
417	1312	1828
418	1315	1824
419	1318	1820
420	1321	1816
421	1323	1813
422	1326	1809
423	1329	1805
424	1332	1802
425	1334	1798
426	1338	1796
427	1341	1792
428	1344	1790
429	1348	1787
430	1351	1784
431	1355	1781
432	1358	1778
433	1361	1775
